1155.KL,2023-01-01,2023-12-01,RM8.81,3.1%,RM9.18,RM8.26
1155.KL,2023-01-01,2023-12-01,RM8.81,3.1%,RM9.18,RM8.26
1023.KL,2023-06-01,2023-12-01,RM5.49,16.26%,RM5.81,RM4.81
